Item_Identifier,Item_Weight,Item_Visibility,Item_MRP,Outlet_Identifier,Item_Outlet_Sales,Outlet_Years,Outlet,Item_Fat_Content_0,Item_Fat_Content_1,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Type_0,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,New_Item_Type_0,New_Item_Type_1,New_Item_Type_2
FDN22,18.85,0.138190277,250.8724,OUT013,8.236443302429764,26,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
FDW12,12.792854228644993,0.035399923,144.5444,OUT027,8.310179649231715,28,5,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
NCB30,14.6,0.025698134,196.5084,OUT035,7.37039888961736,9,6,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
FDC37,12.792854228644991,0.057556998,107.6938,OUT019,5.372439195748607,28,4,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0
FDR28,13.85,0.025896485,165.021,OUT046,8.31361326825195,16,8,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
NCD06,13.0,0.099887103,45.906,OUT017,6.733292362029665,6,2,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
FDV10,7.645,0.066693437,42.3112,OUT035,6.9719312344007,9,6,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
DRJ59,11.65,0.019356132,39.1164,OUT013,5.736350337363997,26,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0
FDE51,5.925,0.161466534,45.5086,OUT010,5.189809681521668,15,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0
FDC14,12.792854228644991,0.072221801,43.6454,OUT019,4.842896490217898,28,4,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0
FDV38,19.25,0.170348551,55.7956,OUT010,5.10465251718005,15,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
NCS17,18.6,0.080829372,96.4436,OUT018,7.916721595888904,4,3,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
FDP33,18.7,0.06595278007399345,256.6672,OUT018,8.029109139987389,4,3,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
FDO23,17.85,0.06595278007399345,93.1436,OUT045,7.685015089220353,11,7,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
DRH01,17.5,0.097904029,174.8738,OUT046,7.6431405389407,16,8,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0
NCX29,10.0,0.089291137,146.7102,OUT049,8.240666057319922,14,9,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
FDV20,12.792854228644991,0.059511812,128.0678,OUT027,7.936907301237016,28,5,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
DRZ11,8.85,0.113123893,122.5388,OUT018,7.384551039392579,4,3,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
FDX10,12.792854228644993,0.123111453,36.9874,OUT027,5.96399416759279,28,5,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
FDB34,12.792854228644993,0.026480954,87.6198,OUT027,7.687765700560121,28,5,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0
FDU02,13.35,0.102511504,230.6352,OUT046,8.142216938353288,16,8,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
FDK43,9.8,0.02681843,126.002,OUT013,7.673936355081979,26,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
FDA46,13.6,0.117818348,192.9136,OUT049,7.835332794792717,14,9,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
FDC02,21.35,0.069102831,259.9278,OUT018,8.820185875977355,4,3,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
FDL50,12.15,0.042277867,126.5046,OUT013,5.925628651410538,26,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
FDM39,6.42,0.089498926,178.1002,OUT010,5.88388045001317,15,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
NCP05,19.6,0.06595278007399345,153.3024,OUT045,7.7955800320656214,11,7,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
FDV49,10.0,0.025879577,265.2226,OUT045,8.668384731590896,11,7,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
FDL12,15.85,0.121632721,60.622,OUT046,7.85463185832182,16,8,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
FDS02,12.792854228644995,0.255394896,196.8794,OUT019,6.66098172530728,28,4,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0
NCL17,7.39,0.067779712,143.8812,OUT046,8.050571485017242,16,8,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
FDM40,10.195,0.159803853,141.5154,OUT013,6.747460227774114,26,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
FDR13,9.895,0.028696932,117.0492,OUT013,6.699431864910897,26,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
FDA43,10.895,0.065041581,196.3794,OUT017,8.04631570847155,6,2,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
NCP18,12.15,0.028760013,151.4708,OUT017,8.479712608158346,6,2,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
FDK21,7.905,0.010053105,249.0408,OUT018,8.741858783837994,4,3,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
NCX54,9.195,0.048157338,106.1622,OUT045,7.658342722547712,11,7,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
DRK35,8.365,0.071958197,38.0506,OUT049,6.682061729183589,14,9,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0
FDY21,15.1,0.173481304,194.511,OUT046,8.499288861213493,16,8,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
FDI26,12.792854228644996,0.061082177,180.0344,OUT019,6.794779171512263,28,4,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0
FDM20,10.0,0.06595278007399345,246.9144,OUT018,8.066580245806012,4,3,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
FDV27,7.97,0.040071131,87.3514,OUT045,6.969430454655927,11,7,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
FDF09,12.792854228644993,0.012090074,38.2848,OUT027,6.185596090661295,28,5,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0
FDY40,12.792854228644993,0.15028599,51.0692,OUT019,5.002654196363512,28,4,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0
FDY45,12.792854228644996,0.026015519,255.8356,OUT027,7.841632851776647,28,5,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0
FDC46,17.7,0.195068226,185.4266,OUT010,5.222659116411064,15,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
FDH19,19.35,0.033082215,172.5738,OUT035,8.490164464233796,9,6,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
FDZ03,13.65,0.078946455,186.024,OUT045,7.0206767385268405,11,7,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
DRH37,17.6,0.041700756,164.8526,OUT045,7.742113959496482,11,7,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
NCI17,8.645,0.143422643,95.841,OUT046,7.614983356759096,16,8,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
FDJ58,15.6,0.105296072,170.1764,OUT046,8.142216938353288,16,8,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
FDL12,15.85,0.121531501,59.222,OUT013,6.397296254677018,26,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
FDH35,18.25,0.06595278007399345,164.7526,OUT045,8.435044040080516,11,7,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
FDG02,7.855,0.011324862,189.6188,OUT017,7.734570042892227,6,2,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
NCZ18,7.825,0.186357148,254.3698,OUT049,8.627255046439146,14,9,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
FDC29,8.39,0.024205661,114.0176,OUT046,7.7368973153479965,16,8,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
FDQ10,12.85,0.033230816,172.3422,OUT049,7.09680034888645,14,9,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
FDN48,12.792854228644995,0.113720344,89.9804,OUT019,6.467951489188129,28,4,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0
FDL04,19.0,0.112556507,104.9622,OUT017,7.370818000764178,6,2,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
FDV25,5.905,0.06595278007399345,222.5456,OUT045,8.57661132571922,11,7,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
FDD58,7.76,0.059352241,101.87,OUT046,7.437671511913667,16,8,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
FDN04,11.8,0.014087057,180.3344,OUT046,7.264362860652083,16,8,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
FDV45,16.75,0.045230944,187.9556,OUT018,8.454229962187917,4,3,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
NCL18,12.792854228644996,0.293417759,194.6136,OUT019,6.370313226611205,28,4,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1
FDR12,12.792854228644998,0.031382044,171.3764,OUT027,8.036888754547524,28,5,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
FDG20,15.5,0.12639886,177.0028,OUT017,7.8161909202534385,6,2,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
FDZ55,6.055,0.025403898,160.992,OUT035,7.907454371437515,9,6,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
FDQ49,12.792854228644995,0.039057677,155.963,OUT027,8.097646298741116,28,5,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
FDN33,6.305,0.123115764,95.6436,OUT046,6.496481131025555,16,8,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
FDN27,20.85,0.039624006,117.2808,OUT049,7.329323631078592,14,9,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
FDW20,20.75,0.040421193,122.173,OUT010,5.914904725472544,15,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
DRG27,8.895,0.105274111,39.9138,OUT049,6.538768569625618,14,9,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0
DRI25,19.6,0.033970195,55.1614,OUT045,7.23167404953173,11,7,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
FDA44,19.7,0.053212652,57.893,OUT035,6.4353856529722036,9,6,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
NCR17,9.8,0.024378706,114.5492,OUT035,7.150969029635072,9,6,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
FDU04,12.792854228644995,0.009714595,120.0414,OUT019,6.1910643056855195,28,4,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0
FDF41,12.15,0.131383762,246.046,OUT049,7.116986501082949,14,9,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
FDB56,8.75,0.07461309,187.4556,OUT035,8.231139658839913,9,6,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
NCP18,12.792854228644995,0.028459761,149.9708,OUT027,8.38129401494555,28,5,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
FDB56,8.75,0.074627201,187.8556,OUT046,7.18181184438651,16,8,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
FDT28,13.3,0.063695084,151.0708,OUT045,7.499229359226499,11,7,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
FDD10,12.792854228644991,0.045797829,178.5344,OUT027,7.957159956361889,28,5,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
FDW57,8.31,0.115857223,179.1028,OUT049,8.26802943164612,14,9,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
DRB48,16.75,0.024832806,38.7822,OUT013,6.505481174203127,26,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0
FDP09,19.75,0.034027909,212.0902,OUT018,8.066789188471217,4,3,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
FDH14,17.1,0.0467696,141.1838,OUT013,7.718125694094618,26,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
FDA47,10.5,0.116576702,163.121,OUT013,7.49294468503679,26,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
FDG12,6.635,0.06595278007399345,121.3098,OUT045,7.836648583780151,11,7,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
DRE60,12.792854228644991,0.278974075,225.372,OUT019,6.522263371856928,28,4,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0
DRK49,14.15,0.035913805,41.4138,OUT013,6.701070535331195,26,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0
FDD03,13.3,0.079806266,232.53,OUT046,6.551208898207379,16,8,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
FDS52,8.89,0.005505481,102.4016,OUT017,7.913317338898384,6,2,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
FDW39,12.79285422864499,0.064625342,176.937,OUT019,5.178615616335596,28,4,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0
FDX34,12.79285422864499,0.071636937,121.7098,OUT027,8.318335633448633,28,5,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0
FDV11,9.1,0.06595278007399345,173.2054,OUT045,8.056077055144213,11,7,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
FDD17,7.5,0.032677678,239.0906,OUT049,8.690013924646816,14,9,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
FDZ16,16.85,0.160760054,192.4478,OUT017,8.48563957084695,6,2,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
FDZ46,7.485,0.06911065,109.0228,OUT035,7.841109360342663,9,6,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
DRA12,11.6,0.041177505,140.3154,OUT017,7.845289638628091,6,2,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
FDY58,11.65,0.040081193,227.0694,OUT018,7.041277796567277,4,3,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
NCF19,13.0,0.035307322,47.5034,OUT017,6.524219358965493,6,2,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
DRJ13,12.65,0.063017847,159.0578,OUT045,7.6434596197912,11,7,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
FDB14,20.25,0.171938781,92.512,OUT010,5.233373429907372,15,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0
FDJ38,8.6,0.040197932,190.153,OUT035,8.018641269991644,9,6,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
FDW11,12.6,0.049058014,62.7194,OUT017,6.7660437774509,6,2,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
FDL40,17.7,0.01161096,95.041,OUT035,6.768342625598476,9,6,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
DRI49,14.15,0.183507295,82.4276,OUT046,7.037191397406722,16,8,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0
FDV38,19.25,0.102349519,52.7956,OUT017,6.834243498301724,6,2,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
DRG23,8.88,0.086708987,151.7682,OUT013,6.637704851497861,26,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0
NCP30,20.5,0.032835147,40.2822,OUT045,6.562556516752542,11,7,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
FDY25,12.79285422864499,0.033809913,180.5976,OUT027,8.98335123587009,28,5,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0
NCH54,13.5,0.07266912,160.292,OUT046,7.271792653591673,16,8,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
NCR53,12.79285422864499,0.144338493,224.4404,OUT027,8.85041047929178,28,5,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
FDS52,8.89,0.009163216,101.7016,OUT010,4.626947333224356,15,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
FDG02,7.855,0.011307038,188.5188,OUT018,6.859713534676676,4,3,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
NCO26,7.235,0.076855628,116.0492,OUT046,7.586010320042112,16,8,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
FDH35,12.792854228644993,0.059956876,165.4526,OUT027,8.568548291893752,28,5,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0
FDB51,6.92,0.038532062,60.5852,OUT045,7.18181184438651,11,7,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
FDX44,9.3,0.043209581,90.8172,OUT017,6.284699672780699,6,2,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
NCN07,18.5,0.056816465,132.1284,OUT010,5.578433892287147,15,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1
NCC31,8.02,0.019866705,154.5972,OUT035,7.246492662505686,9,6,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
NCX54,9.195,0.048331717,105.1622,OUT017,7.435317186555804,6,2,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
NCO55,12.8,0.091221855,105.5938,OUT045,7.6708370208333125,11,7,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
NCC30,16.6,0.027622076,177.6344,OUT049,7.892644778027672,14,9,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
FDI16,14.0,0.06595278007399345,53.064,OUT035,6.809577792379763,9,6,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
FDP16,18.6,0.039355947,246.3802,OUT049,8.905363740394149,14,9,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
FDB11,16.0,0.060836524,226.8404,OUT035,8.748643140888198,9,6,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
NCB06,17.6,0.082316506,160.692,OUT035,7.377083680312805,9,6,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
FDA45,21.25,0.155350299,178.237,OUT035,6.273463626903626,9,6,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
NCO26,7.235,0.076841095,117.5492,OUT035,7.586010320042112,9,6,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
DRJ25,14.6,0.151419185,50.3692,OUT017,6.942787617743714,6,2,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
FDR28,13.85,0.026001976,161.521,OUT018,7.49294468503679,4,3,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
FDI04,13.65,0.073209447,197.6426,OUT018,7.926384669299209,4,3,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
DRK12,12.792854228644993,0.041683481,31.29,OUT027,6.802205856593669,28,5,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
FDX20,7.365,0.042560252,226.172,OUT046,8.061552479860703,16,8,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
NCI18,18.35,0.014081156,223.5746,OUT018,8.186184211991133,4,3,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
FDB36,5.465,0.06595278007399345,132.5626,OUT018,5.5733897702400235,4,3,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
FDN13,18.6,0.152918384,99.8358,OUT017,7.5554762359746785,6,2,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
DRD24,13.85,0.030969274,140.9154,OUT017,7.440020307440113,6,2,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
FDQ28,14.0,0.060376776,154.5656,OUT013,7.812964679062614,26,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
FDM22,14.0,0.04192285,54.764,OUT013,7.194887200128437,26,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
FDR07,12.792854228644991,0.077367431,97.0094,OUT027,7.501070300985557,28,5,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0
FDV25,5.905,0.045838211,222.5456,OUT018,8.106720767601526,4,3,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
DRF49,7.27,0.071077939,114.2518,OUT046,7.870773630394549,16,8,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0
FDW51,6.155,0.094659871,214.556,OUT046,7.9268653805358165,16,8,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
DRL01,19.5,0.077608838,233.4958,OUT017,8.589700514643262,6,2,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0
FDP25,15.2,0.021327477,216.8824,OUT017,7.9515491902587625,6,2,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
FDL50,12.15,0.042485444,125.0046,OUT018,7.463973530392659,4,3,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
NCB30,12.792854228644991,0.025578526,198.8084,OUT027,8.622712030540242,28,5,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
FDW11,12.6,0.0489808,61.9194,OUT018,6.4300323323209385,4,3,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
NCM43,14.5,0.019471688,164.821,OUT035,7.65991307366622,9,6,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
FDK44,16.6,0.122918852,173.0738,OUT017,8.249058445700365,6,2,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
FDM15,11.8,0.057373797,151.4366,OUT013,7.216143540982984,26,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
FDS31,13.1,0.044155597,178.8318,OUT013,8.286647209592282,26,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
FDI32,17.7,0.291865402,115.1834,OUT010,5.848027685481126,15,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
FDR47,17.85,0.06595278007399345,196.5794,OUT010,6.37372619162615,15,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
FDB35,12.3,0.064750025,92.6804,OUT045,6.919371943502174,11,7,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
NCU05,11.8,0.098312421,81.4618,OUT010,5.088359007287065,15,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1
DRY23,12.792854228644991,0.191013663,42.1112,OUT019,3.775313998100727,28,4,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0
FDO24,11.1,0.176573035,157.4604,OUT045,8.010275787267753,11,7,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
FDQ28,12.792854228644993,0.060134441,153.0656,OUT027,8.7036990484697,28,5,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
FDV39,11.3,0.007294652,198.1426,OUT045,6.897415002109901,11,7,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
NCO17,12.792854228644993,0.128478462,117.944,OUT019,5.483501488955468,28,4,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1
FDU50,5.75,0.075107656,112.8176,OUT013,7.2263625983054,26,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
FDT12,12.792854228644995,0.049381406,226.8062,OUT027,8.463967547031883,28,5,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
FDK58,11.35,0.045165796,100.0016,OUT018,6.920687298793248,4,3,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
FDO08,12.792854228644996,0.09415375,165.7526,OUT019,6.490435784456965,28,4,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0
NCW29,14.0,0.028907832,130.431,OUT049,6.659275970804608,14,9,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
FDE04,19.75,0.018059621,179.766,OUT045,7.757033177798801,11,7,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
NCB19,6.525,0.090436094,85.0882,OUT049,7.711590697648821,14,9,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
FDV15,10.3,0.146399712,103.9648,OUT049,7.416280338478307,14,9,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
FDL58,5.78,0.074264356,264.7568,OUT049,8.465230704748418,14,9,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
FDA08,11.85,0.050186726,164.1526,OUT045,8.0473813517777,11,7,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
FDT43,16.35,0.020631654,50.1324,OUT018,6.149304698172492,4,3,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
NCX06,12.792854228644996,0.01561108,182.5976,OUT027,8.531437813341336,28,5,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
FDT20,10.5,0.041395445,37.6164,OUT046,6.294582372985006,16,8,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
FDB41,19.0,0.097313129,48.0718,OUT046,6.901443199658056,16,8,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
NCN55,14.6,0.059582996,238.8538,OUT049,8.701154236847259,14,9,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
FDE40,12.792854228644995,0.098663652,62.9194,OUT027,7.652668951953786,28,5,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
